Program,Organization,Category,Location/Format,Deadline,Verified,Materials Required,Affiliation Agreement?,Date Submitted,Status,Contact Email,Outcome,Next Action,Notes
AMCP Association & Leadership Mgmt APPE,AMCP,Managed Care,Alexandria VA,TBD,NO - verify,App + 500-word essay + CV with references,Ask OEE,,Not started,,,Write 500-word managed care essay,Verify cycle deadline
ASHP Association Management APPE,ASHP,Association,Bethesda MD,TBD,NO - verify,App; active ASHP membership required,Ask OEE,,Not started,,,Confirm ASHP membership active,"No placements Dec, May, Jun, Jul"
APhA Experiential Program,APhA,Association,Washington DC,Rolling,NO - verify,Online application form,Ask OEE,,Not started,,,,Year-round; decision ~1 month
NCPA Association Management APPE,NCPA,Association,Alexandria VA,Rolling,NO - verify,Application,Ask OEE,,Not started,,,,Year-round
USP APPE,USP,Standards,Rockville MD,Rolling,NO - verify,Inquire via Academic Connection,Ask OEE,,Not started,,,Email Academic Connection,Select number of non-traditional APPEs
Boehringer Ingelheim PharmD APPE,Boehringer Ingelheim,Industry,Ridgefield CT,TBD,NO - verify,Per company process,MUST CHECK,,Not started,,,Confirm school is a BI partner school,Contractual agreements with SELECT schools only
FDA PSEP,FDA,Federal,Silver Spring MD,Possibly open now,NO - ambiguous,"Online portal, submitted with experiential coordinator support; US citizenship",Ask OEE,,ACTION NEEDED,Pharmacy.Student@fda.hhs.gov,,Ask experiential coordinator re 2027-28 notice; email FDA,"Pause notice is labeled 2026-27, NOT 27-28. Historical window Sep 1 - Oct 31 of P3 = open now. Coordinators are notified directly when it reopens. Portal: accessdata.fda.gov/scripts/FDASpeaker/Students.cfm. Phone 855-543-3784"
IHS APPE,Indian Health Service,Federal,Various (39 states),Via OEE,NO - verify,School must have agreement,MUST CHECK,,Not started,,,Ask OEE to contact IHS Pharmacy Program,Unpaid; student pays travel + housing
VA APPE - [facility],VA,Federal,TBD,Per facility,NO - verify,Facility registration process,Ask OEE,,Not started,,,Pick 2 target VA facilities,3-7 weeks; long onboarding
AstraZeneca,AstraZeneca,Industry,Wilmington DE,No public deadline,YES (Jul 2026),Via OEE / Early Talent search,MUST CHECK,,Not started,,,Ask OEE re existing preceptors,CORRECTED: prior Oct 25 deadline REMOVED - not on any official page
Evidera / PPD,Thermo Fisher Scientific,Industry/CRO,Various,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,Ask OEE re existing contacts,"HEOR, RWE, medical writing, evidence synthesis, market access"
Johnson & Johnson,J&J Innovative Medicine,Industry,Titusville/Raritan NJ,Periodic,YES (Jul 2026),Via OEE or job postings,MUST CHECK,,Not started,,,Search postings for APPE/PharmD,No active national APPE page verified
Payer Sciences,Publicis Health,Market Access,Parsippany NJ,No public deadline,YES (Jul 2026),Via OEE - project-based APPE,MUST CHECK,,Not started,,,Ask OEE to inquire,"Market access analytics, strategy, evidence and value"
Medscape / WebMD,WebMD Health Network,Medical Writing,New York NY,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,Ask OEE re established preceptor,"Medical info, medical writing, editorial, CME"
ProPharma,ProPharma,Industry/CRO,Various,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,,"Med Info, PV, Reg Sciences, Med Writing, Quality"
United Therapeutics,United Therapeutics,Industry,Silver Spring MD,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,,"CORRECTED: prior mid-Oct deadline + Google Drive docs not retained. Rare disease, Med Info, Safety"
Vizient,Vizient,GPO/Consulting,Irving TX,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,,"CORRECTED: prior link was PGY2/fellowship not APPE. Informatics, supply chain, analytics"
Procter & Gamble,P&G,Consumer Health,Cincinnati OH,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,,CORRECTED: prior mid-Oct deadline NOT confirmed
Chiesi USA,Chiesi,Industry,Cary NC,No public deadline,YES (Jul 2026),CV + 1-page letter + block dates + school contract contact,MUST CHECK,,Not started,,,,Prior Med Affairs APPE may be school-specific only
L'Oreal USA Integrated Health,L'Oreal,Consumer Health,Various,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,,CORRECTED: prior form was UNC-specific
Radius Health / Paratek,Paratek Pharmaceuticals,Industry,Boston MA,No public deadline,YES (Jul 2026),Via OEE,MUST CHECK,,Not started,,,,Radius now part of Paratek
Premier Pharma Mentors,Premier Pharma Mentors,Virtual vendor,Virtual,Direct outreach,YES (Jul 2026),School partnership,VERIFY CAREFULLY,,Not started,,,CONFIRM credit + costs before enrolling,"Virtual rotations in Consulting, Amb Care, Managed Care. Verify preceptor quals and any fees."
